SF;MilkPrice;Income;Population;FO
Москва;42,87;48621,6;12380664;ЦФО
Московская область;35,91;29699,1;7423470;ЦФО
Краснодарский край;31,05;21077,2;5570945;ЮФО
Санкт-Петербург;38,98;27794,6;5281579;СЗФО
Свердловская область;33,24;27709,2;4329341;УФО
Ростовская область;34,21;17987,3;4231355;ЮФО
Республика Башкортостан;29,73;21258,8;4066972;ПФО
Республика Татарстан;27,98;24009,8;3885253;ПФО
Тюменская область;44,91;33280,7;1477903;УФО
Челябинская область;35,45;19762,5;3502323;УФО
Нижегородская область;32,6;21517,6;3247713;ПФО
Самарская область;31,84;24683;3203679;ПФО
Республика Дагестан;36,22;20647,9;3041900;СКФО
Красноярский край;36,15;22137,6;2875301;СФО
Ставропольский край;28,63;16877,2;2804383;СКФО
Новосибирская область;34,38;20637,1;2779555;СФО
Кемеровская область;31;18385,5;2708844;СФО
Пермский край;33,37;23269,6;2632097;ПФО
Волгоградская область;30,37;16066,4;2535202;ЮФО
Саратовская область;24,97;14243,3;2479260;ПФО
Иркутская область;37,37;17720,3;2408901;СФО
Алтайский край;31,27;13628,9;2365680;СФО
Воронежская область;31,15;18885,1;2335408;ЦФО
Оренбургская область;29,92;16539,1;1989589;ПФО
Омская область;28,95;19468,8;1972682;СФО
Приморский край;62,52;21299,7;1923116;ДВФО
Ленинградская область;40,62;17925;1791916;СЗФО
Ханты-Мансийский автономный округ — Югра;49,92;36088,1;1646078;УФО
Белгородская область;28,39;21562,9;1552865;ЦФО
Удмуртская Республика;28,45;16411;1516826;ПФО
Тульская область;28,59;19291,1;1499417;ЦФО
Чеченская Республика;46,43;15256,9;1414865;СКФО
Владимирская область;31,88;16136;1389599;ЦФО
Пензенская область;29,99;15765,3;1341526;ПФО
Хабаровский край;49,57;25649,3;1333294;ДВФО
Тверская область;32,92;17247,3;1296799;ЦФО
Кировская область;27,07;16529,9;1291684;ПФО
Ярославская область;33,12;18512,5;1270736;ЦФО
Ульяновская область;27,59;16350,6;1252887;ПФО
Чувашская Республика;32,69;13754,9;1235863;ПФО
Брянская область;26,11;17421,6;1220530;ЦФО
Вологодская область;28,69;18125,2;1183860;СЗФО
Архангельская область;39,51;23635,8;1121813;СЗФО
Липецкая область;32,19;19777,4;1156221;ЦФО
Рязанская область;28,37;17664,4;1126739;ЦФО
Курская область;26,01;18807,8;1122893;ЦФО
Забайкальский край;40,94;17335,6;1078983;СФО
Томская область;37,29;17875,6;1078891;СФО
Тамбовская область;29,09;17469,8;1040327;ЦФО
Ивановская область;32,26;15930,1;1023170;ЦФО
Астраханская область;33,38;17773,4;1018866;ЮФО
Калужская область;28,23;20621,2;1014570;ЦФО
Калининградская область;34,88;19371,3;986261;СЗФО
Республика Бурятия;39,98;17119;984134;СФО
Республика Саха (Якутия);50,79;28457,3;962835;ДВФО
Смоленская область;33,46;18250,4;953201;ЦФО
Кабардино-Балкарская Республика;31,76;13681,1;864454;СКФО
Курганская область;36,23;16019,5;854109;УФО
Республика Коми;38,19;26787,3;850554;СЗФО
Республика Мордовия;29,07;13062,7;808541;ПФО
Амурская область;41,8;21469,3;801752;ДВФО
Мурманская область;39,78;28604,2;757621;СЗФО
Орловская область;28,89;16762,2;754816;ЦФО
Республика Северная Осетия — Алания;30,13;16184,7;703262;СКФО
Республика Марий Эл;29,52;12537,9;684684;ПФО
Костромская область;34,5;15808,2;648157;ЦФО
Псковская область;35,48;16412,1;642164;СЗФО
Республика Карелия;33,46;20037,4;627083;СЗФО
Новгородская область;34,28;19649,2;612522;СЗФО
Республика Хакасия;38,59;15991,4;537668;СФО
Ямало-Ненецкий автономный округ;56,8;52342,3;536049;УФО
Сахалинская область;50,34;33459,5;487344;ДВФО
Республика Ингушетия;31,92;12375,5;480474;СКФО
Карачаево-Черкесская Республика;32,15;13353,9;466432;СКФО
Республика Адыгея;28,28;17025,3;453366;ЮФО
Республика Тыва;46,97;11932,6;318550;СФО
Камчатский край;70,75;31481,6;314729;ДВФО
Республика Калмыкия;34,42;10183,8;277803;ЮФО
Республика Алтай;36,9;14277,7;217007;СФО
Еврейская автономная область;51,25;18151,4;164217;ДВФО
Магаданская область;78,65;36575,6;145570;ДВФО
Ненецкий автономный округ;81,26;61936,9;43937;СЗФО
